Tall viser til kolonnenummer:
0=Tid, 1=Lys 
 
 
0,86
0.06082701683044434,70
0.1133370399475098,60
0.1636970043182373,47
0.2233381271362305,40
0.2741270065307617,30
0.3281700611114502,22
0.3804881572723389,20
0.433845043182373,18
0.4834949970245361,17
0.5405819416046143,16
0,86
0.06082701683044434,70
0.1133370399475098,60
0.1636970043182373,47
0.2233381271362305,40
0.2741270065307617,30
0.3281700611114502,22
0.3804881572723389,20
0.433845043182373,18
0.4834949970245361,17
0.5405819416046143,16
