Tall viser til kolonnenummer:
0=Tid, 1=Lys 
 
 
0,30
0.04815101623535156,30
0.07712793350219727,30
0.1204500198364258,28
0.1510360240936279,32
0.1896319389343262,31
0.2244510650634766,30
0.2551059722900391,30
0.291795015335083,31
0.3199799060821533,32
0.3512148857116699,30
0.38742995262146,32
0.4144439697265625,39
0.4473509788513184,38
0.4753718376159668,41
0.5133259296417236,47
0.5534029006958008,49
0.5834469795227051,48
0.6175198554992676,48
0.6543848514556885,48
0.6842169761657715,48
0.7227380275726318,49
0.762253999710083,49
0.7950220108032227,48
0.8246119022369385,49
0.8612940311431885,47
0.894460916519165,47
0.938187837600708,48
0.9679708480834961,48
1.002564907073975,48
1.034301996231079,48
1.07465386390686,48
1.10480785369873,48
1.137155055999756,48
1.179064035415649,49
1.217932939529419,48
1.25288987159729,47
1.284533023834229,46
1.328098058700562,49
1.357836008071899,44
1.392324924468994,47
1.424270868301392,46
1.460597038269043,46
1.487583875656128,47
1.52749490737915,46
1.555247068405151,48
1.593971967697144,49
1.627357006072998,46
1.663991928100586,46
1.701771020889282,49
1.74512505531311,48
1.777626991271973,48
1.809936046600342,49
1.840824842453003,45
1.877719879150391,47
1.913061857223511,47
1.944285869598389,44
1.984298944473267,47
2.017571926116943,46
2.05416202545166,47
2.085340976715088,49
2.130216836929321,47
2.166615009307861,47
2.195342063903809,47
2.227041006088257,48
2.265156984329224,48
2.305068969726563,48
2.344401836395264,48
2.374650001525879,47
2.413341045379639,47
2.444576978683472,47
2.483582973480225,46
2.517319917678833,46
2.552671909332275,46
2.593529939651489,47
2.627218008041382,47
2.655132055282593,48
2.693292856216431,50
2.723248958587646,48
2.754288911819458,50
2.787816047668457,45
2.825495004653931,49
2.864677906036377,48
2.896810054779053,46
2.936738967895508,48
2.97447395324707,48
3.00749397277832,49
3.037164926528931,45
3.074826955795288,47
3.105134963989258,48
3.142881870269775,49
3.177340984344482,47
3.212267875671387,47
3.254029989242554,48
3.284491062164307,48
3.330024003982544,49
3.359169960021973,48
3.390733957290649,47
3.427788972854614,40
3.457108974456787,37
3.487278938293457,39
3.521950006484985,39
3.55007004737854,35
3.580380916595459,31
3.610388040542603,32
3.649487018585205,30
3.681782960891724,29
3.710653066635132,33
3.750656843185425,30
3.787548065185547,33
3.819184064865112,31
3.848434925079346,31
3.883684873580933,30
3.914484024047852,31
3.954324007034302,32
3.987701892852783,33
4.015239000320435,31
4.054015874862671,33
4.084306001663208,29
4.125205993652344,31
4.154926061630249,31
4.197620868682861,31
4.227463960647583,30
4.262095928192139,32
4.294502973556519,32
4.333446979522705,30
4.364727020263672,31
4.39648699760437,31
4.429442882537842,32
4.476558923721313,29
4.507112979888916,31
4.547276020050049,31
4.577406883239746,31
4.61442494392395,30
4.648370027542114,31
4.677181959152222,31
4.714869976043701,31
4.747319936752319,30
4.781276941299438,29
4.815340042114258,30
4.85338306427002,32
4.882815837860107,32
4.914831876754761,31
4.954323053359985,29
4.996811866760254,30
5.038054943084717,30
5.066740036010742,31
5.097758054733276,31
5.131649971008301,32
5.164161920547485,31
5.197916030883789,32
5.233262062072754,29
5.267210960388184,34
5.304023027420044,32
5.343917846679688,31
5.375244855880737,31
